LocationType,Location,TimeFrame,DataFormat,Data
State,Delaware,2014,"Rate per 1,000",6.7
State,Delaware,2017,Number,72
State,Delaware,2016,Number,87
State,Delaware,2017,"Rate per 1,000",6.6
City,District of Columbia,2017,"Rate per 1,000",8.1
City,District of Columbia,2016,Number,70
City,District of Columbia,2017,Number,77
City,District of Columbia,2014,"Rate per 1,000",7.3
City,District of Columbia,2016,"Rate per 1,000",7.1
City,District of Columbia,2014,Number,69
City,District of Columbia,2011,"Rate per 1,000",7.5
City,District of Columbia,2012,Number,75
City,District of Columbia,2011,Number,70
City,District of Columbia,2015,Number,82
City,District of Columbia,2012,"Rate per 1,000",8
City,District of Columbia,2015,"Rate per 1,000",8.6
City,District of Columbia,2010,"Rate per 1,000",7.9
City,District of Columbia,2009,Number,89
City,District of Columbia,2010,Number,72
City,District of Columbia,2018,"Rate per 1,000",6.9
City,District of Columbia,2009,"Rate per 1,000",9.8
City,District of Columbia,2018,Number,64
City,District of Columbia,2013,Number,63
City,District of Columbia,2013,"Rate per 1,000",6.8
City,District of Columbia,2008,"Rate per 1,000",10.8
City,District of Columbia,2008,Number,99
City,District of Columbia,2007,Number,116
City,District of Columbia,2007,"Rate per 1,000",13.1
City,District of Columbia,2006,"Rate per 1,000",11.3
City,District of Columbia,2006,Number,96
City,District of Columbia,2004,"Rate per 1,000",12
City,District of Columbia,2005,Number,112
City,District of Columbia,2005,"Rate per 1,000",14.1
City,District of Columbia,2004,Number,95
City,District of Columbia,2003,Number,80
City,District of Columbia,2003,"Rate per 1,000",10.5
City,District of Columbia,2001,Number,81
City,District of Columbia,2002,"Rate per 1,000",11.3
City,District of Columbia,2002,Number,85
City,District of Columbia,2001,"Rate per 1,000",10.6
City,District of Columbia,2000,"Rate per 1,000",12
City,District of Columbia,2000,Number,92
City,District of Columbia,1998,"Rate per 1,000",12.5
City,District of Columbia,1999,Number,113
City,District of Columbia,1999,"Rate per 1,000",15
City,District of Columbia,1998,Number,96
City,District of Columbia,1997,Number,105
City,District of Columbia,1997,"Rate per 1,000",13.2
City,District of Columbia,1996,"Rate per 1,000",14.9
City,District of Columbia,1995,Number,146
City,District of Columbia,1996,Number,125
City,District of Columbia,1995,"Rate per 1,000",16.2
City,District of Columbia,1994,"Rate per 1,000",18.2
City,District of Columbia,1994,Number,181
City,District of Columbia,1993,Number,185
City,District of Columbia,1992,"Rate per 1,000",19.6
City,District of Columbia,1993,"Rate per 1,000",17.4
City,District of Columbia,1992,Number,215
City,District of Columbia,1991,Number,247
City,District of Columbia,1991,"Rate per 1,000",21
City,District of Columbia,1990,"Rate per 1,000",20.7
City,District of Columbia,1990,Number,245
State,Florida,1990,Number,1918
State,Florida,1990,"Rate per 1,000",9.6
State,Florida,1991,"Rate per 1,000",9
State,Florida,1991,Number,1740
State,Florida,1992,Number,1691
State,Florida,1993,"Rate per 1,000",8.6
State,Florida,1992,"Rate per 1,000",8.8
State,Florida,1993,Number,1658
State,Florida,1994,Number,1548
State,Florida,1994,"Rate per 1,000",8.1
State,Florida,1995,"Rate per 1,000",7.5
State,Florida,1996,Number,1411
State,Florida,1995,Number,1420
State,Florida,1996,"Rate per 1,000",7.5
State,Florida,1997,"Rate per 1,000",7.1
State,Florida,1997,Number,1366
State,Florida,1998,Number,1417
State,Florida,1999,"Rate per 1,000",7.4
State,Florida,1999,Number,1452
State,Florida,1998,"Rate per 1,000",7.2
State,Florida,2000,Number,1425
State,Florida,2000,"Rate per 1,000",7
State,Florida,2001,"Rate per 1,000",7.3
State,Florida,2002,Number,1548
State,Florida,2002,"Rate per 1,000",7.5
State,Florida,2001,Number,1495
State,Florida,2003,"Rate per 1,000",7.5
State,Florida,2003,Number,1583
State,Florida,2004,Number,1537
State,Florida,2005,"Rate per 1,000",7.2
State,Florida,2005,Number,1629
State,Florida,2004,"Rate per 1,000",7
State,Florida,2006,Number,1717
State,Florida,2006,"Rate per 1,000",7.3
State,Florida,2007,"Rate per 1,000",7
State,Florida,2007,Number,1685
State,Florida,2008,Number,1669
State,Florida,2008,"Rate per 1,000",7.2
State,Florida,2013,"Rate per 1,000",6.2
State,Florida,2013,Number,1326
State,Florida,2018,Number,1332
State,Florida,2018,"Rate per 1,000",6
State,Florida,2010,Number,1403
State,Florida,2009,Number,1522
State,Florida,2009,"Rate per 1,000",6.9
State,Florida,2010,"Rate per 1,000",6.5
State,Florida,2015,"Rate per 1,000",6.2
State,Florida,2012,"Rate per 1,000",6.1
State,Florida,2015,Number,1400
State,Florida,2011,Number,1375
State,Florida,2012,Number,1290
State,Florida,2011,"Rate per 1,000",6.4
State,Florida,2014,Number,1333
State,Florida,2014,"Rate per 1,000",6.1
State,Florida,2016,"Rate per 1,000",6.1
State,Florida,2017,Number,1358
State,Florida,2016,Number,1381
State,Florida,2017,"Rate per 1,000",6.1
State,Georgia,2017,"Rate per 1,000",7.2
State,Georgia,2016,Number,976
State,Georgia,2017,Number,932
State,Georgia,2016,"Rate per 1,000",7.5
State,Georgia,2014,"Rate per 1,000",7.5
State,Georgia,2014,Number,976
State,Georgia,2011,"Rate per 1,000",6.8
State,Georgia,2012,Number,815
State,Georgia,2011,Number,905
State,Georgia,2015,Number,1024
State,Georgia,2012,"Rate per 1,000",6.3
State,Georgia,2010,"Rate per 1,000",6.4
State,Georgia,2015,"Rate per 1,000",7.8
State,Georgia,2009,"Rate per 1,000",7.4
State,Georgia,2009,Number,1049
State,Georgia,2010,Number,860
State,Georgia,2018,"Rate per 1,000",7
State,Georgia,2018,Number,888
State,Georgia,2013,Number,894
State,Georgia,2013,"Rate per 1,000",6.9
State,Georgia,2008,"Rate per 1,000",8.1
State,Georgia,2008,Number,1182
State,Georgia,2007,Number,1206
State,Georgia,2007,"Rate per 1,000",8
State,Georgia,2006,"Rate per 1,000",8.1
State,Georgia,2006,Number,1206
State,Georgia,2004,"Rate per 1,000",8.5
State,Georgia,2005,Number,1159
State,Georgia,2005,"Rate per 1,000",8.2
State,Georgia,2004,Number,1181
State,Georgia,2003,Number,1151
State,Georgia,2003,"Rate per 1,000",8.5
State,Georgia,2001,Number,1146
State,Georgia,2002,"Rate per 1,000",8.9
State,Georgia,2002,Number,1192
State,Georgia,2001,"Rate per 1,000",8.6
State,Georgia,2000,"Rate per 1,000",8.5
State,Georgia,2000,Number,1126
State,Georgia,1998,"Rate per 1,000",8.5
State,Georgia,1999,Number,1040
State,Georgia,1999,"Rate per 1,000",8.2
State,Georgia,1998,Number,1035
State,Georgia,1997,Number,1022
State,Georgia,1997,"Rate per 1,000",8.6
State,Georgia,1996,"Rate per 1,000",9.2
State,Georgia,1995,Number,1057
State,Georgia,1996,Number,1050
State,Georgia,1995,"Rate per 1,000",9.4
State,Georgia,1994,"Rate per 1,000",10.2
State,Georgia,1994,Number,1129
State,Georgia,1993,Number,1153
State,Georgia,1992,"Rate per 1,000",10.3
State,Georgia,1993,"Rate per 1,000",10.4
State,Georgia,1992,Number,1146
State,Georgia,1991,Number,1255
State,Georgia,1991,"Rate per 1,000",11.4
State,Georgia,1990,"Rate per 1,000",12.4
State,Georgia,1990,Number,1392
State,Hawaii,1990,Number,138
State,Hawaii,1990,"Rate per 1,000",6.7
State,Hawaii,1991,"Rate per 1,000",7.4
State,Hawaii,1991,Number,147
State,Hawaii,1992,Number,126
State,Hawaii,1993,"Rate per 1,000",7.2
State,Hawaii,1992,"Rate per 1,000",6.3
State,Hawaii,1993,Number,142
State,Hawaii,1994,Number,130
State,Hawaii,1994,"Rate per 1,000",6.7
State,Hawaii,1995,"Rate per 1,000",5.8
State,Hawaii,1996,Number,107
State,Hawaii,1995,Number,107
State,Hawaii,1996,"Rate per 1,000",5.8
